房产名称,位置,成交日期,户型,价格(HKD),面积(呎),单价,特色
友聯大樓 4樓 B室,,註冊處成交,-,$320,508 呎,"$6,299",
名堂大樓 3樓 F室,,註冊處成交,-,$165,368 呎,"$4,484",
Chung Pak Mansion 中柏大廈 2樓 15室,,註冊處成交,-,$250,432 呎,"$5,787",
南和大樓 1樓 A室,,註冊處成交,-,$190,282 呎,"$6,738",平台
名堂大樓 3樓 F室,,註冊處成交,-,$165,368 呎,"$4,484",
友聯大樓 4樓 B室,,註冊處成交,-,$320,508 呎,"$6,299",
Chung Pak Mansion 中柏大廈 2樓 15室,,註冊處成交,-,$250,432 呎,"$5,787",
廣豐大廈 2樓 A室,,註冊處成交,-,$270,407 呎,"$6,634",
The Yoho Hub The Yoho Hub II 6座 50樓 F室,,"註冊處成交
一手",3房,"$1,214",747 呎,"$16,250",露台 |  | 工作平台
麗港城 1期 16座 14樓 F室,,註冊處成交,2房,$558,517 呎,"$10,793",
Yoho West Yoho West Parkside 1A座 33樓 A2室,,"註冊處成交
一手",3房,$624,521 呎,"$11,975",露台 |  | 工作平台
名日．九肚山 1座 9樓 A室,,"註冊處成交
一手",4房,"$2,090","1,213 呎","$17,233",露台
翠豐臺 5座 10樓 D室,,註冊處成交,2房,$512,449 呎,"$11,403",
綠悠軒 6座 2樓 D室,,註冊處成交,2房,$390,445 呎,"$8,764",
鯉景灣 A段 觀暉閣 11樓 F室,,註冊處成交,2房,$653,485 呎,"$13,464",
貝沙灣 六期 8B座 25樓 B室,,註冊處成交,3房,"$2,800","1,352 呎","$20,710",露台 |  | 工作平台
怡峰園 2座 13樓 D室,,註冊處成交,-,$418,527 呎,"$7,932",
東頭邨2期 裕東樓 22樓 14室,,註冊處成交,開放式,$218,443 呎,"$4,926",露台
貝沙灣 四期 (南灣) 9座 15樓 B室,,註冊處成交,2房,"$1,088",649 呎,"$16,764",露台 |  | 工作平台
御龍山 6座 12樓 D室,,註冊處成交,3房,"$1,090",775 呎,"$14,065",露台 |  | 工作平台
新達大廈 21樓 B室,,註冊處成交,2房,$418,327 呎,"$12,783",
凱帆軒 1座 28樓 D室,,註冊處成交,2房,$718,464 呎,"$15,474",平台 |  | 露台 |  | 工作平台
名逸居 1座 6樓 D室,,註冊處成交,-,$559,530 呎,"$10,545",
太古城 安盛台 興安閣 8樓 A室,,註冊處成交,2房,$797,583 呎,"$13,671",
又一居 21座 4樓 D室,,註冊處成交,3房,$818,559 呎,"$14,633",
新都城 二期 7座 8樓 A室,,註冊處成交,2房,$577,441 呎,"$13,084",
新時代廣場 Yoho Midtown M9座 49樓 A室,,註冊處成交,2房,$690,525 呎,"$13,143",露台 |  | 工作平台
海濱南岸 3座 8樓 H室,,註冊處成交,3房,$850,590 呎,"$14,407",
南海大廈 21樓 5室,,註冊處成交,2房,$378,284 呎,"$13,310",
太安樓 13樓 49室,,註冊處成交,-,$280,352 呎,"$7,955",
新寧閣 2樓 D室,,註冊處成交,2房,$390,327 呎,"$11,927",
嘉湖山莊 麗湖居 1座 9樓 D室,,註冊處成交,3房,$410,547 呎,"$7,495",
淘大花園 1期 C座 低層 4室,,成交,2房,$418,375 呎,"$11,147",
黃埔花園 十一期 12座 高層 F室,,成交,3房,$770,639 呎,"$12,050",
南首 18樓 B5室,,"註冊處成交
一手",1房,$519,263 呎,"$19,733",露台 |  | 工作平台
南浪海灣 3座 低層 H室,,成交,3房,$818,840 呎,"$9,738",
Yoho West Yoho West Parkside 1A座 37樓 A3室,,"註冊處成交
一手",2房,$530,410 呎,"$12,931",露台 |  | 工作平台
溱柏 5座 高層 F室,,成交,1房,$398,468 呎,"$8,494",露台 |  | 工作平台
Yoho West Yoho West Parkside 1B座 46樓 B6室,,"註冊處成交
一手",2房,$496,409 呎,"$12,125",露台 |  | 工作平台
嘉湖山莊 麗湖居 02座 高層 H室,,成交,3房,$446,547 呎,"$8,154",
Yoho West Yoho West Parkside 1A座 37樓 A2室,,"註冊處成交
一手",3房,$810,521 呎,"$15,547",露台 |  | 工作平台
新港城 1期 B座 32樓 7室,,註冊處成交,2房,$400,348 呎,"$11,494",
日出康城 Malibu 1A座 71樓 B室,,註冊處成交,3房,"$1,470",850 呎,"$17,294",天台 |  | 露台 |  | 工作平台
美孚新邨 五期 蘭秀街9號 19樓 B室,,註冊處成交,3房,$830,704 呎,"$11,790",露台
瓊麗苑 A座 18樓 7室,,註冊處成交,3房,$338,645 呎,"$5,240",露台
康德花園 3座 20樓 G室,,註冊處成交,2房,$325,363 呎,"$8,953",
博康邨 5座 (博達樓) 16樓 3室,,註冊處成交,開放式,$262,424 呎,"$6,179",露台
修頓大廈 11樓 G室,,註冊處成交,-,$320,362 呎,"$8,840",
長安邨 1座 (安海樓) 30樓 10室,,註冊處成交,開放式,$288,443 呎,"$6,501",露台
富安花園 7座 6樓 C室,,註冊處成交,3房,$335,591 呎,"$5,668",
海逸豪園 翠堤灣 23A座 15樓 C室,,註冊處成交,2房,"$1,018",562 呎,"$18,114",
富善邨 善鄰樓 26樓 15室,,註冊處成交,開放式,$297,586 呎,"$5,065",露台
愉景灣 寶峰 寶峰 (寶怡閣) 19樓 B室,,註冊處成交,3房,$880,980 呎,"$8,980",露台
Yoho West Yoho West Parkside 1A座 37樓 A7室,,"註冊處成交
一手",2房,$476,411 呎,"$11,582",露台 |  | 工作平台
天晉 3A期 5A座 中層 A室,,成交,3房,"$36,800",854 呎,$43,露台 |  | 工作平台
牽晴間 11座 29樓 E室,,註冊處成交,2房,$426,381 呎,"$11,181",
美孚新邨 二期 百老匯街50號 17樓 A室,,註冊處成交,3房,$688,729 呎,"$9,438",露台
尚．珒溋 2座 中層 A室,,成交,3房,"$33,000",752 呎,$44,露台 |  | 工作平台
永德大廈 B 座 6樓 B3室,,註冊處成交,開放式,$318,357 呎,"$8,908",
映灣園 三期 9座 高層 G室,,成交,3房,"$24,500",757 呎,$32,露台
城市花園 1期 4座 8樓 B室,,註冊處成交,3房,$985,942 呎,"$10,456",露台
連方I 15樓 B室,,"註冊處成交
一手",2房,"$1,034",401 呎,"$25,796",露台 |  | 工作平台
藍天海岸 1期 2座 57樓 G室,,註冊處成交,2房,$625,485 呎,"$12,887",
愛海頌 5座 30樓 A室,,註冊處成交,3房,$930,771 呎,"$12,062",露台
置富花園 H-4座 (富景苑) 10樓 E室,,註冊處成交,2房,$400,439 呎,"$9,112",
海濱南岸 4座 4樓 A室,,註冊處成交,2房,$510,432 呎,"$11,806",
彩華花園 B座 低層 5室,,成交,2房,$295,420 呎,"$7,024",
滙都 滙都I 3座 2樓 B02室,,"註冊處成交
一手",2房,$435,440 呎,"$9,888",露台 |  | 工作平台
滙都 滙都I 2座 1樓 A01室,,"註冊處成交
一手",2房,$449,405 呎,"$11,096",平台
維港．雙鑽 1A座 9樓 C室,,"註冊處成交
一手",1房,$535,305 呎,"$17,544",露台 |  | 工作平台
黃氏大廈 8樓 86室,,註冊處成交,-,$370,561 呎,"$6,595",
永順大廈 4樓 C室,,註冊處成交,-,$330,361 呎,"$9,141",
生昌大廈 2樓 B室,,註冊處成交,-,$320,357 呎,"$8,964",
恒興樓 16樓 C室,,註冊處成交,-,$338,241 呎,"$14,025",
南首 22樓 A5室,,"註冊處成交
一手",1房,$545,258 呎,"$21,135",露台 |  | 工作平台
美善同道98-100號 3樓 98室,,註冊處成交,-,$726,878 呎,"$8,269",
峻巒 (Park Yoho) Park Yoho Genova 2A期 18A座 低層 D室,,成交,2房,$560,572 呎,"$9,790",露台 |  | 工作平台
山麗苑 B座 (榕山閣) 29樓 12室,,註冊處成交,-,$295,448 呎,"$6,585",
美盛大廈 7樓 D室,,註冊處成交,-,$264,347 呎,"$7,602",
城市花園 1期 2座 19樓 H室,,註冊處成交,3房,"$1,068",792 呎,"$13,485",
加多利軒 低層 B室,,成交,開放式,"$13,000",181 呎,$72,露台
藍天海岸 1期 1座 高層 G室,,成交,1房,$472,399 呎,"$11,830",
美善同道98-100號 G樓 100室,,註冊處成交,-,$737,774 呎,"$9,522",花園
Coasto 5樓 C室,,"註冊處成交
一手",1房,$389,247 呎,"$15,745",露台 |  | 工作平台
新蒲崗廣場 1座 8樓 G室,,註冊處成交,2房,$490,437 呎,"$11,213",
富健花園 3座 24樓 G室,,註冊處成交,3房,$350,592 呎,"$5,912",
嘉湖山莊 景湖居 3座 26樓 C室,,註冊處成交,3房,$430,546 呎,"$7,875",
迎海 二期(迎海．星灣) 18座 19樓 D室,,註冊處成交,2房,$658,496 呎,"$13,266",露台 |  | 工作平台
海濱花園 3座 (海珊閣) 10樓 B室,,註冊處成交,3房,$570,577 呎,"$9,879",
錦繡花園 C段(第七街) 7 街 20 號,,註冊處成交,3房,$778,848 呎,"$9,175",花園
泰峯 2A座 36樓 F室,,"註冊處成交
一手",1房,$603,379 呎,"$15,918",露台 |  | 工作平台
啟德花園 一期 2座 21樓 A室,,註冊處成交,3房,$720,612 呎,"$11,765",
牽晴間 1座 7樓 H室,,註冊處成交,2房,$410,392 呎,"$10,459",
海之戀 1期 8座 51樓 E室,,註冊處成交,3房,"$1,100",773 呎,"$14,230",露台
荔灣花園 D座 4樓 3室,,註冊處成交,3房,$450,552 呎,"$8,152",
錦禧苑 錦榮閣(C座) 9樓 4室,,註冊處成交,3房,$363,554 呎,"$6,552",露台
油塘中心 T2座 7樓 F室,,註冊處成交,2房,$396,423 呎,"$9,362",
裕明苑 A座(裕榮閣) 10樓 1室,,註冊處成交,2房,$460,649 呎,"$7,088",
中和樓 1樓 19室,,註冊處成交,-,$230,394 呎,"$5,838",平台
滙都 滙都I 2座 10樓 B09室,,"註冊處成交
一手",2房,$449,436 呎,"$10,299",露台 |  | 工作平台
海怡半島 3期 20座 低層 H室,,成交,3房,$850,632 呎,"$13,449",
柏傲莊 柏傲莊 II 5B座 高層 B室,,成交,3房,"$1,325",660 呎,"$20,076",露台 |  | 工作平台
海灣花園 3座 低層 F室,,成交,2房,$480,470 呎,"$10,213",
爵悅庭 西爵軒 (B1) 43樓 D室,,註冊處成交,1房,$699,521 呎,"$13,417",
新翠花園 3座 5樓 G室,,註冊處成交,3房,$478,533 呎,"$8,968",
愉景新城 1期 2座 36樓 C室,,註冊處成交,2房,$595,495 呎,"$12,020",
百福花園 I座 (百喜閣) 5樓 D室,,註冊處成交,3房,$518,606 呎,"$8,548",露台
海濱花園 2座 (海珠閣) 19樓 D室,,註冊處成交,2房,$420,419 呎,"$10,024",
東環 2期 1B座 15樓 02室,,註冊處成交,3房,$660,645 呎,"$10,233",露台
黃埔新邨 永貴樓(A座) 8樓 3室,,註冊處成交,1房,$400,356 呎,"$11,236",
金禧花園 6座 14樓 B室,,註冊處成交,2房,$464,314 呎,"$14,771",
映灣園 二期 8座 45樓 G室,,註冊處成交,3房,$750,737 呎,"$10,176",平台 |  | 露台 |  | 工作平台
龍譽 1B座 6樓 F室,,註冊處成交,2房,$800,499 呎,"$16,032",露台 |  | 工作平台
百富閣 23樓 B室,,註冊處成交,2房,$289,297 呎,"$9,731",
黃埔花園 二期 7座 3樓 C室,,註冊處成交,2房,$600,466 呎,"$12,876",
凱旋門 1座 (摩天閣) 11樓 C室,,註冊處成交,3房,"$2,400",846 呎,"$28,369",露台
曉薈 低層 A室,,成交,開放式,$318,205 呎,"$15,512",工作平台
錦繡花園 荔枝南路 荔枝南路〈獨立屋〉,,成交,3房,"$28,000","1,100 呎",$25,花園
叠茵庭 二期 8座 10樓 C室,,註冊處成交,2房,$400,383 呎,"$10,444",
青雅苑 A座 26樓 7室,,註冊處成交,開放式,$300,443 呎,"$6,772",露台
Midtown South The Haddon 10樓 R室,,"註冊處成交
一手",2房,$641,346 呎,"$18,513",露台 |  | 工作平台
將軍澳中心 一期 06座 低層 B室,,成交,3房,$890,684 呎,"$13,012",
中星樓 4樓 14室,,註冊處成交,-,$308,457 呎,"$6,740",
富健花園 3座 24樓 G室,,註冊處成交,3房,$350,592 呎,"$5,912",
嘉湖山莊 景湖居 3座 26樓 C室,,註冊處成交,3房,$430,546 呎,"$7,875",
新蒲崗廣場 1座 8樓 G室,,註冊處成交,2房,$490,437 呎,"$11,213",
錦繡花園 C段(第七街) 7 街 20 號,,註冊處成交,3房,$778,848 呎,"$9,175",花園
泰峯 2A座 36樓 F室,,"註冊處成交
一手",1房,$603,379 呎,"$15,918",露台 |  | 工作平台
Yoho West Yoho West Parkside 1B座 23樓 B7室,,"註冊處成交
一手",2房,$468,412 呎,"$11,353",露台 |  | 工作平台
Yoho West Yoho West Parkside 1B座 39樓 B5室,,"註冊處成交
一手",1房,$361,288 呎,"$12,533",露台
Yoho West Yoho West Parkside 1B座 40樓 B2室,,"註冊處成交
一手",2房,$695,431 呎,"$16,115",露台 |  | 工作平台
Yoho West Yoho West Parkside 1A座 38樓 A1室,,"註冊處成交
一手",3房,"$1,087",679 呎,"$16,013",露台 |  | 工作平台
Yoho West Yoho West Parkside 1A座 41樓 A8室,,"註冊處成交
一手",3房,$623,547 呎,"$11,388",露台 |  | 工作平台
Yoho West Yoho West Parkside 1A座 37樓 A8室,,"註冊處成交
一手",3房,$620,547 呎,"$11,342",露台 |  | 工作平台
南首 22樓 A5室,,"註冊處成交
一手",1房,$545,258 呎,"$21,135",露台 |  | 工作平台
南首 11樓 B9室,,"註冊處成交
一手",1房,$488,261 呎,"$18,710",露台 |  | 工作平台
南首 20樓 B8室,,"註冊處成交
一手",1房,$528,262 呎,"$20,159",露台 |  | 工作平台
日出康城 Grand Seasons 1A座 32樓 E室,,"註冊處成交
一手",1房,$475,323 呎,"$14,690",露台 |  | 工作平台
錦暉苑 24樓 9室,,註冊處成交,開放式,$246,283 呎,"$8,693",
安秀苑 A座 8樓 3室,,"註冊處成交
一手",-,$183,284 呎,"$6,439",
西洋大樓 2樓 190室,,註冊處成交,-,$310,466 呎,"$6,652",
廣福大廈 11樓 987(A)室,,註冊處成交,-,$195,224 呎,"$8,705",平台
靠背壟道157-163號 2樓 157室,,註冊處成交,-,$723,873 呎,"$8,282",
獲嘉進29-31號 獲嘉道29-31號 7樓 5室,,註冊處成交,-,$500,653 呎,"$7,657",天台
日出康城 緻藍天 3座 L (珀峰) 高層 D室,,成交,3房,"$23,000",781 呎,$29,露台 |  | 工作平台
將軍澳中心 一期 9座 6樓 F室,,註冊處成交,2房,$575,406 呎,"$14,163",
皓畋 5座 16樓 A室,,註冊處成交,3房,"$1,780",865 呎,"$20,578",露台 |  | 工作平台
荷李活華庭 A座 24樓 H室,,註冊處成交,3房,"$1,240",756 呎,"$16,402",
富康花園 7座 39樓 A室,,註冊處成交,3房,$660,592 呎,"$11,149",
瓏碧 23樓 F室,,"註冊處成交
一手",1房,$547,284 呎,"$19,243",露台 |  | 工作平台
Coasto 18樓 C室,,"註冊處成交
一手",1房,$453,247 呎,"$18,348",露台 |  | 工作平台
林海山城 15座 1樓 D室,,"註冊處成交
一手",3房,"$1,775","1,185 呎","$14,979",露台 |  | 工作平台
星凱．堤岸 1座 46樓 C室,,"註冊處成交
一手",開放式,$499,228 呎,"$21,873",露台
星凱．堤岸 5座 37樓 C室,,"註冊處成交
一手",3房,"$1,796",945 呎,"$19,005",露台 |  | 工作平台
清水灣半島 1期 2座 8樓 C室,,註冊處成交,3房,$785,764 呎,"$10,275",
映灣園 一期 1座 11樓 C室,,註冊處成交,2房,$501,495 呎,"$10,121",
得寶花園 B座 20樓 B6室,,註冊處成交,2房,$320,282 呎,"$11,348",
華蕙閣 22樓 C室,,註冊處成交,1房,$408,344 呎,"$11,860",
富亨邨 亨隆樓 (2座) 6樓 1室,,註冊處成交,開放式,$191,443 呎,"$4,312",露台
大埔中心 4期 9座 11樓 C室,,註冊處成交,1房,$360,371 呎,"$9,704",
高雲台 34樓 F室,,註冊處成交,3房,"$1,355",817 呎,"$16,585",
萬豐大廈 13樓 G室,,註冊處成交,2房,$280,255 呎,"$10,980",
東裕大廈 14樓 B室,,註冊處成交,-,$325,302 呎,"$10,762",
映灣園 三期 12座 25樓 A室,,註冊處成交,3房,$850,912 呎,"$9,320",露台 |  | 工作平台
興旺樓 中層 B室,,成交,-,$600,830 呎,"$7,229",
駿豪閣 15樓 H室,,註冊處成交,3房,"$1,195",802 呎,"$14,900",
均益大廈 二期 C 座 23樓 C3室,,註冊處成交,-,$453,404 呎,"$11,213",
美孚新邨 三期 百老匯街86號 6樓 A室,,註冊處成交,3房,$688,719 呎,"$9,569",露台
翠林花園 B座 4樓 3室,,註冊處成交,-,$300,429 呎,"$6,993",
雅趣苑 A座 3樓 A1室,,註冊處成交,3房,"$1,100",727 呎,"$15,131",車位 |  | 天台
峻瀅 1期 3座 40樓 D室,,註冊處成交,3房,$640,694 呎,"$9,222",露台 |  | 工作平台
Coasto 10樓 D室,,"註冊處成交
一手",1房,$453,277 呎,"$16,357",露台 |  | 工作平台
日出康城 Sea To Sky 3座 28樓 F室,,註冊處成交,2房,$598,473 呎,"$12,643",
興旺樓 中層 B室,,成交,-,$600,830 呎,"$7,229",
海翩滙 5座 3樓 A室,,註冊處成交,3房,"$1,018",873 呎,"$11,661",露台 |  | 工作平台
駿豪閣 15樓 H室,,註冊處成交,3房,"$1,195",802 呎,"$14,900",
清水灣半島 1期 2座 8樓 C室,,註冊處成交,3房,$785,764 呎,"$10,275",
映灣園 一期 1座 11樓 C室,,註冊處成交,2房,$501,495 呎,"$10,121",
朗天峰 2座 20樓 C室,,"註冊處成交
一手",2房,$514,403 呎,"$12,750",露台 |  | 工作平台
朗天峰 2座 9樓 D室,,"註冊處成交
一手",2房,$484,393 呎,"$12,306",露台 |  | 工作平台
朗天峰 2座 23樓 G室,,"註冊處成交
一手",1房,$385,291 呎,"$13,230",露台 |  | 工作平台
港島南岸 海盈山4A期 2A座 38樓 D室,,"註冊處成交
一手",2房,"$1,766",616 呎,"$28,663",露台 |  | 工作平台
凱和山 1座 8樓 C室,,"註冊處成交
一手",1房,$406,375 呎,"$10,831",露台
啟德海灣 啟德海灣 1 2B座 19樓 B室,,"註冊處成交
一手",2房,$914,474 呎,"$19,287",露台 |  | 工作平台
南首 16樓 B8室,,"註冊處成交
一手",1房,$485,262 呎,"$18,502",露台 |  | 工作平台
南首 8樓 B3室,,"註冊處成交
一手",1房,$446,263 呎,"$16,976",露台 |  | 工作平台
南首 8樓 A7室,,"註冊處成交
一手",1房,$441,262 呎,"$16,823",露台 |  | 工作平台
南首 3樓 A2室,,"註冊處成交
一手",2房,$656,304 呎,"$21,579",平台
Belgravia Place Belgravia Place 第2期 2座 20樓 9室,,"註冊處成交
一手",2房,$577,352 呎,"$16,382",露台 |  | 工作平台
Belgravia Place Belgravia Place 第2期 2座 26樓 11室,,"註冊處成交
一手",1房,$513,299 呎,"$17,166",露台 |  | 工作平台
Yoho West Yoho West Parkside 1A座 12樓 A2室,,"註冊處成交
一手",3房,$596,521 呎,"$11,440",露台 |  | 工作平台
Yoho West Yoho West Parkside 1B座 31樓 B8室,,"註冊處成交
一手",2房,$482,444 呎,"$10,863",露台 |  | 工作平台
Yoho West Yoho West Parkside 1B座 11樓 B2室,,"註冊處成交
一手",2房,$509,431 呎,"$11,800",露台 |  | 工作平台
Yoho West Yoho West Parkside 1B座 17樓 B1室,,"註冊處成交
一手",3房,$680,592 呎,"$11,494",露台 |  | 工作平台
Yoho West Yoho West Parkside 1B座 10樓 B8室,,"註冊處成交
一手",3房,$559,557 呎,"$10,034",露台 |  | 工作平台
Yoho West Yoho West Parkside 1B座 10樓 B8室,,"註冊處成交
一手",3房,$559,557 呎,"$10,034",露台 |  | 工作平台
嘉禮樓 1樓 4室,,註冊處成交,-,$438,687 呎,"$6,376",
福星樓 5樓 F室,,註冊處成交,-,$188,464 呎,"$4,052",天台
太順樓 4樓 O室,,註冊處成交,-,$248,311 呎,"$7,974",
都會大樓 3樓 A室,,註冊處成交,-,$300,427 呎,"$7,026",
遠東發展元朗大廈 14樓 C室,,註冊處成交,-,$280,327 呎,"$8,563",
日出康城 LP6 5座 中層 K室,,成交,1房,$426,307 呎,"$13,876",露台 |  | 工作平台
金．御門 高層 A室,,成交,2房,"$26,000",504 呎,$52,天台 |  | 露台 |  | 工作平台
綠悠軒 3座 中層 F室,,成交,3房,"$16,000",612 呎,$26,
晉名峰 C座 中層 A室,,成交,3房,"$1,266",922 呎,"$13,731",車位
長康大廈 7樓 E室,,註冊處成交,-,$480,690 呎,"$6,957",
永星苑 高座 17樓 B室,,註冊處成交,開放式,$380,251 呎,"$15,139",
Coasto 17樓 C室,,"註冊處成交
一手",1房,$449,247 呎,"$18,194",露台 |  | 工作平台
Coasto 19樓 B室,,"註冊處成交
一手",2房,$721,360 呎,"$20,031",露台 |  | 工作平台
擎天半島 1期 3座 35樓 D室,,註冊處成交,3房,"$1,738",803 呎,"$21,644",
龍譽 1B座 38樓 A室,,註冊處成交,2房,$970,490 呎,"$19,796",露台 |  | 工作平台
屯門市廣場 1期 4座 21樓 H室,,註冊處成交,2房,$402,369 呎,"$10,894",
沙田第一城 5期 27座 7樓 A室,,註冊處成交,3房,$692,688 呎,"$10,058",
新都城 一期 2座 38樓 G室,,註冊處成交,2房,$530,364 呎,"$14,560",
集德苑 17樓 A室,,註冊處成交,-,"$1,350","1,346 呎","$10,030",車位
青怡花園 6座 32樓 G室,,註冊處成交,3房,$570,547 呎,"$10,420",
滙都 滙都I 3座 11樓 B07室,,"註冊處成交
一手",3房,$540,498 呎,"$10,844",露台 |  | 工作平台
滙都 滙都I 2座 11樓 B01室,,"註冊處成交
一手",2房,$488,453 呎,"$10,766",露台 |  | 工作平台
滙都 滙都I 3座 11樓 B05室,,"註冊處成交
一手",2房,$468,448 呎,"$10,451",露台 |  | 工作平台
沙田第一城 1期 11座 24樓 F室,,註冊處成交,3房,$600,484 呎,"$12,397",
朗天峰 2座 23樓 F室,,"註冊處成交
一手",1房,$387,286 呎,"$13,516",露台 |  | 工作平台
朗天峰 2座 9樓 C室,,"註冊處成交
一手",2房,$464,403 呎,"$11,504",露台 |  | 工作平台
栢苑 12樓 B室,,註冊處成交,2房,$800,417 呎,"$19,185",
淘大花園 3期 L座 高層 5室,,成交,2房,$465,356 呎,"$13,062",
海怡半島 4期(御庭園) 28座 26樓 A室,,註冊處成交,2房,$640,544 呎,"$11,765",
嘉薈軒 37樓 05室,,註冊處成交,1房,$650,408 呎,"$15,931",露台 |  | 工作平台
麗寶大廈 26樓 B室,,註冊處成交,2房,$270,248 呎,"$10,887",
金龍大廈 B座 19樓 3室,,註冊處成交,3房,"$1,100",857 呎,"$12,835",車位 |  | 露台
